part_num	name	class	stock
0687b1	Set 0687 Activity Booklet 1	Non-LEGO	8
0901	Baseplate 16 x 30 with Set 080 Yellow House Print	Baseplates	0
0902	Baseplate 16 x 24 with Set 080 Small White House Print	Baseplates	3
0903	Baseplate 16 x 24 with Set 080 Red House Print	Baseplates	0
0904	Baseplate 16 x 24 with Set 080 Large White House Print	Baseplates	4
1	Homemaker Bookcase 2 x 4 x 4	Containers	3
10	Baseplate 24 x 32	Baseplates	3
10016414	Sticker Sheet #1 for 41055-1	Non-LEGO	6
10019stk01	Sticker for Set 10019 - (43274/4170393)	Non-LEGO	6
10026stk01	Sticker for Set 10026 - (44942/4184185)	Non-LEGO	7
10029stk01	Sticker for Set 10029 - (4216816)	Non-LEGO	1
10036stk01	Sticker for Set 10036 - (821407)	Non-LEGO	5
10039	Pullback Motor 8 x 4 x 2/3	Mechanical	3
10048	Minifig Hair Tousled	Minifigs	1
10049	Minifig Shield Broad with Spiked Bottom and Cutout Corner	Minifig Accessories	2
10049pr0001	Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print	Minifig Accessories	4
10050	Minifig Sword [Uruk-hai]	Minifig Accessories	0
10051	Minifig Helmet Castle with Lateral Comb [Uruk-hai]	Minifig Accessories	4
10051pr01	Minifig Helmet Castle with Lateral Comb and Handprint Print	Minifig Accessories	4
10052	Minifig Beard, Rounded End [Gandalf]	Minifig Accessories	4
10053	Minifig Sword Small	Minifig Accessories	5
10054	Minifig Helmet - Rohan Style Castle with Cheek Protection and Horsehead Comb	Minifig Accessories	6
10054pr0001	Minifig Helmet - Rohan Style with Cheek Protection, Horsehead Comb and Eomer Print	Minifig Accessories	2
10054pr0002	Minifig Helmet - Rohan Cheek Protection and Theoden Print	Minifig Accessories	1
10055	Minifig Hair Long Straight with Elf Ears [Plain]	Minifig Accessories	9
10055pr0001	Minifig Hair Long Straight with Light Flesh Elf Ears Print	Minifig Accessories	5
10056	Minifig Helmet Castle with Cheek Protection [Plain]	Other	8
10056pr0001	Minifig Helmet Castle with Cheek Protection and Dark Red Ornaments Print	Minifig Accessories	6
10057	Body / Head Gollum	Minifigs	0
10057pr0001	Body / Head Gollum - Wide Eyes	Minifigs	3
10057pr0002	Body / Head Gollum - Narrow Eyes	Minifigs	0
10058	Arm, Bent [Gollum]	Minifigs	5
10061	Arm Goblin King, Left	Minifigs	9
10062	Hand Cave Troll, Left	Minifigs	5
10063	Arm Goblin King, Right	Minifigs	9
10064	Hand Cave Troll, Right	Minifigs	1
10065	Minifig Beard - Full with Braided Moustache Ends	Minifigs	3
10066	Minifig Hair Orc [Plain]	Other	4
10066pr0001	Minifig Hair Orc with Dark Tan Ears Print	Minifigs	1
10066pr0002	Minifig Hair Orc with Olive Green Ears Print	Minifigs	9
10066pr0003	Minifig Hair Orc with Medium Dark Flesh Ears Print	Minifigs	4
10075cdb01	Paper, Cardboard Backdrop for Set 10075 Spider-Man Action Pack	Non-LEGO	7
10111	ADULT FIGURE W/HEADSET	Duplo, Quatro and Primo	2
10111apr0006	ADULT FIGURE W/HEADSET (Yellow) NO. 6	Non-Buildable Figures (Duplo, Fabuland, etc)	5
10113	Minifig Batman Mask with Angular Ears and Pronounced Brow	Minifigs	2
10113pr0001	MASK, BATMAN, NO. 1 with Bat Print	Minifig Accessories	1
10113pr0002	Mask Batman with Crack Print	Minifig Accessories	9
10119	Duplo Brick 2 x 10 x 2 Arch with Gold Vines with Leaves and 'C' in Shield print	Duplo, Quatro and Primo	7
10124	Arm Giant, Right	Minifigs	2
10124pr0001	Arm Giant, Right with Blue Darkseid Print	Minifigs	3
10126	Hand Hulk - Right	Minifigs	4
10127	Hand Hulk - Left	Minifigs	5
10127stk01	Sticker for Set 10127 - Sheet 1, Primarily Eastern Teams (47852/4210596)	Non-LEGO	4
10127stk02	Sticker for Set 10127 - Sheet 2, Primarily Western Teams (47851/4210595)	Non-LEGO	8
10127stk03	Sticker for Set 10127 - Sheet 3, All 30 Teams and Numbers 1-9 (47853/4210598)	Non-LEGO	0
10128	Hulk Body [Plain]	Other	9
10128pr0001	Hulk Body with Dark Tan Pants Print	Minifigs	6
10128pr0002	Hulk Body with Dark Purple Pants Print	Minifigs	8
10129stk01	Sticker for Set 10129 - (48074/4214068)	Non-LEGO	3
10134stk01	Sticker for Set 10134 - (48981/4221407)	Non-LEGO	6
10144stk01	Sticker for Set 10144 - (53390/4269558)	Non-LEGO	9
10154	Arm Giant, Left	Minifigs	3
10154pr0001	Arm Giant, Left with Blue Darkseid Print	Minifigs	7
10159stk01	Sticker for Set 10159 - (4264102)	Non-LEGO	0
10164	Minifig Cap, Santa [Plain]	Other	5
10164pr0001	Minifig Santa Hat with Red Top Print	Minifig Accessories	1
10165c01	Minifig Helmet Underwater Deep Diver with Trans-Clear Glass	Minifig Accessories	7
10166	Minifig Hair Short Tousled with Headphones Print [Plain]	Minifig Accessories	2
